R;		Complexity;		$\sigma$;		$\ell$;		$\omega_1$;		$\omega_2$;		$nu_1$;		$nu_2$;		$\ell_1$;		$\ell_2$;		$\pi_1$;		$\pi_2$;		$tau$
0.850000000000;	0.060487049764;	 0.007114716801;	 0.009946557197;	 0.416469363067;	 0.002240319055;	 0.000414106581;	 0.020176635719;	 0.001199654803;	 0.002831847573;	 0.000584400137;	 0.001164884278;	 0.021539631930
0.860000000000;	0.057422149167;	 0.006361792255;	 0.008816273749;	 0.422410966939;	 0.001973193208;	 0.000369460494;	 0.018547115854;	 0.001052226553;	 0.002454455110;	 0.000512863603;	 0.001022392197;	 0.019743866033
0.870000000000;	0.054254789153;	 0.005554791520;	 0.007524608528;	 0.428460291974;	 0.001676093792;	 0.000323330915;	 0.016955874494;	 0.000883196077;	 0.001969799847;	 0.000430774460;	 0.000858853027;	 0.017989801480
0.880000000000;	0.050980388568;	 0.004824169173;	 0.006537211292;	 0.434319309767;	 0.001436282315;	 0.000278001950;	 0.015408232813;	 0.000755381056;	 0.001712810377;	 0.000369844350;	 0.000737783031;	 0.016278251891
0.890000000000;	0.047595737396;	 0.004232220883;	 0.005750980797;	 0.440008390922;	 0.001249817247;	 0.000241597493;	 0.013850559922;	 0.000660715834;	 0.001518716388;	 0.000322970049;	 0.000644138873;	 0.014610204883
0.900000000000;	0.044096480452;	 0.003611400703;	 0.004815494477;	 0.445786552410;	 0.001040252998;	 0.000205781725;	 0.012352797434;	 0.000541809191;	 0.001204087030;	 0.000266219561;	 0.000531334790;	 0.012986862056
0.910000000000;	0.040476611942;	 0.002926517835;	 0.003885889861;	 0.451593787756;	 0.000822915113;	 0.000164550028;	 0.010905099135;	 0.000429452933;	 0.000955810116;	 0.000210695725;	 0.000420447746;	 0.011409693920
0.920000000000;	0.036731007775;	 0.002177739060;	 0.002842890968;	 0.457489701997;	 0.000584043616;	 0.000120586819;	 0.009504941345;	 0.000302442270;	 0.000665118736;	 0.000148907610;	 0.000297294612;	 0.009880517580
0.930000000000;	0.032849376188;	 0.001947331307;	 0.002544744601;	 0.462753970654;	 0.000524867226;	 0.000107235379;	 0.008074709361;	 0.000271003638;	 0.000597428764;	 0.000133774749;	 0.000267164903;	 0.008401610530
0.940000000000;	0.028823306396;	 0.001541194821;	 0.002015004104;	 0.468221900538;	 0.000408878719;	 0.000083546580;	 0.006723785160;	 0.000211672259;	 0.000473813601;	 0.000104493821;	 0.000208693304;	 0.006975884933
0.950000000000;	0.024638345538;	 0.001064053114;	 0.001355662741;	 0.473790150866;	 0.000268102917;	 0.000056725961;	 0.005436383082;	 0.000137292540;	 0.000291601960;	 0.000067823350;	 0.000135467631;	 0.005607170053
0.960000000000;	0.020277669926;	 0.000806525472;	 0.001014428130;	 0.479089505435;	 0.000199613858;	 0.000042409073;	 0.004175201941;	 0.000100940739;	 0.000207923366;	 0.000050165817;	 0.000100272091;	 0.004300705707
0.970000000000;	0.015713114725;	 0.000439510738;	 0.000553108406;	 0.484503681450;	 0.000102677043;	 0.000022158211;	 0.002998444708;	 0.000052452831;	 0.000113585944;	 0.000026010772;	 0.000051979992;	 0.003064099916
0.980000000000;	0.010904258006;	 0.000233991294;	 0.000290385125;	 0.489737811793;	 0.000052174718;	 0.000011349902;	 0.001873028114;	 0.000026325247;	 0.000056397918;	 0.000013163994;	 0.000026325247;	 0.001909508447
0.990000000000;	0.005768237404;	 0.000079454493;	 0.000067055182;	 0.494926735999;	 0.000013217326;	 0.000003673412;	 0.000849765736;	 0.000006609640;	 0.000013217326;	 0.000003305630;	 0.000006609640;	 0.000860207505
1.000000000000;	0.000000000000;	 0.000000000000;	 0.000000000000;	 0.499999970047;	 0.000000000000;	 0.000000000000;	 0.000000000000;	 0.000000014977;	 0.000000000000;	 0.000000014977;	 0.000000014977;	 0.000000000000
